[Statistics]
,Count,Unit,Area (integration),Unit,Brightness (integration),Position correction value (X),Position correction value (Y)
Average,5046,pcs,10650,µm2,958152,0,0
Total,534913,pcs,1128945,µm2,101564109,0,0
[Main]
Name,Count,Unit,Area (integration),Unit,Brightness (integration),Position correction value (X),Position correction value (Y),Conditions file
1284 NBM1_Overlay.jpg,3949,pcs,4000,µm2,339438,0,0,Clean_OXTR.mcd
1284 NBM2_Overlay.jpg,5047,pcs,5105,µm2,423964,0,0,Clean_OXTR.mcd
1284 NBM3_Overlay.jpg,2302,pcs,2309,µm2,180760,0,0,Clean_OXTR.mcd
1284 NBM4_Overlay.jpg,2154,pcs,2703,µm2,234418,0,0,Clean_OXTR.mcd
1284 NBM5_Overlay.jpg,3183,pcs,5170,µm2,473984,0,0,Clean_OXTR.mcd
1349 NBM1_Overlay.jpg,4084,pcs,6190,µm2,569942,0,0,Clean_OXTR.mcd
1349 NBM2_Overlay.jpg,3419,pcs,5202,µm2,457300,0,0,Clean_OXTR.mcd
1349 NBM3_Overlay.jpg,2586,pcs,6393,µm2,787411,0,0,Clean_OXTR.mcd
1349 NBM4_Overlay.jpg,2411,pcs,5326,µm2,593770,0,0,Clean_OXTR.mcd
1674 NBM1_Overlay.jpg,4988,pcs,18337,µm2,2533849,0,0,Clean_OXTR.mcd
1674 NBM2_Overlay.jpg,5703,pcs,22651,µm2,3268381,0,0,Clean_OXTR.mcd
1674 NBM3_Overlay.jpg,6032,pcs,21225,µm2,2853225,0,0,Clean_OXTR.mcd
1674 NBM4_Overlay.jpg,4584,pcs,13840,µm2,1721462,0,0,Clean_OXTR.mcd
1708 NBM3_Overlay.jpg,2094,pcs,2343,µm2,181300,0,0,Clean_OXTR.mcd
1708 NBM4_Overlay.jpg,1526,pcs,1916,µm2,153530,0,0,Clean_OXTR.mcd
4337 NBM1_Overlay.jpg,8453,pcs,19417,µm2,2122175,0,0,Clean_OXTR.mcd
4337 NBM2_Overlay.jpg,15037,pcs,27113,µm2,2990747,0,0,Clean_OXTR.mcd
4337 NBM3_Overlay.jpg,9706,pcs,19337,µm2,2143686,0,0,Clean_OXTR.mcd
4337 NBM4_Overlay.jpg,5240,pcs,9303,µm2,926694,0,0,Clean_OXTR.mcd
4607 NBM1_Overlay.jpg,7354,pcs,8507,µm2,776250,0,0,Clean_OXTR.mcd
4607 NBM2_Overlay.jpg,6916,pcs,9520,µm2,917615,0,0,Clean_OXTR.mcd
4999 NBM1_Overlay.jpg,5974,pcs,12394,µm2,1113047,0,0,Clean_OXTR.mcd
4999 NBM2_Overlay.jpg,5936,pcs,15184,µm2,1452524,0,0,Clean_OXTR.mcd
5027 NBM1_Overlay.jpg,9642,pcs,36485,µm2,2741212,0,0,Clean_OXTR.mcd
5027 NBM2_Overlay.jpg,11508,pcs,37615,µm2,3075975,0,0,Clean_OXTR.mcd
5027 NBM3_Overlay.jpg,9563,pcs,32189,µm2,2346579,0,0,Clean_OXTR.mcd
5027 NBM4_Overlay.jpg,8650,pcs,31516,µm2,2271702,0,0,Clean_OXTR.mcd
5176 NBM1_Overlay.jpg,10228,pcs,18701,µm2,1605270,0,0,Clean_OXTR.mcd
5176 NBM2_Overlay.jpg,7537,pcs,20999,µm2,2031588,0,0,Clean_OXTR.mcd
5176 NBM3_Overlay.jpg,6971,pcs,19862,µm2,1600349,0,0,Clean_OXTR.mcd
5176 NBM4_Overlay.jpg,5621,pcs,13366,µm2,1189382,0,0,Clean_OXTR.mcd
5278 NBM1_Overlay.jpg,7302,pcs,10426,µm2,834178,0,0,Clean_OXTR.mcd
5278 NBM2_Overlay.jpg,15113,pcs,19876,µm2,1650347,0,0,Clean_OXTR.mcd
5282 NBM1_Overlay.jpg,3300,pcs,3546,µm2,257868,0,0,Clean_OXTR.mcd
5282 NBM2_Overlay.jpg,2408,pcs,2583,µm2,200313,0,0,Clean_OXTR.mcd
5282 NBM3_Overlay.jpg,7149,pcs,7703,µm2,631165,0,0,Clean_OXTR.mcd
