[Statistics]
,Count (Target area),Unit,Count (1st),Unit,Area (target area),Unit,Area (1st integration),Unit,Brightness (1st integration),Area ratio (1st),Unit
Average,37,pcs,2892,pcs,40315,µm2,7643,µm2,766313,24,%
Total,3901,pcs,306561,pcs,4273344,µm2,810185,µm2,81229198,19,%
[Main]
Name,Count (Target area),Unit,Count (1st),Unit,Area (target area),Unit,Area (1st integration),Unit,Brightness (1st integration),Area ratio (1st),Unit,Conditions file
1284 NBM1_Overlay.jpg,28,pcs,2483,pcs,18068,µm2,2849,µm2,267892,16,%,Clean_OXTR_Coll.mcd
1284 NBM2_Overlay.jpg,26,pcs,3327,pcs,24407,µm2,3750,µm2,343823,15,%,Clean_OXTR_Coll.mcd
1284 NBM3_Overlay.jpg,18,pcs,1059,pcs,7658,µm2,1280,µm2,120377,17,%,Clean_OXTR_Coll.mcd
1284 NBM4_Overlay.jpg,13,pcs,1107,pcs,9510,µm2,1629,µm2,159007,17,%,Clean_OXTR_Coll.mcd
1284 NBM5_Overlay.jpg,21,pcs,1748,pcs,14140,µm2,3664,µm2,368230,26,%,Clean_OXTR_Coll.mcd
1349 NBM1_Overlay.jpg,25,pcs,1992,pcs,16736,µm2,3645,µm2,369218,22,%,Clean_OXTR_Coll.mcd
1349 NBM2_Overlay.jpg,23,pcs,1783,pcs,16534,µm2,3335,µm2,324049,20,%,Clean_OXTR_Coll.mcd
1349 NBM3_Overlay.jpg,14,pcs,1389,pcs,16150,µm2,4993,µm2,689891,31,%,Clean_OXTR_Coll.mcd
1349 NBM4_Overlay.jpg,11,pcs,960,pcs,10921,µm2,3763,µm2,487662,34,%,Clean_OXTR_Coll.mcd
1674 NBM1_Overlay.jpg,44,pcs,2031,pcs,35791,µm2,14263,µm2,2208018,40,%,Clean_OXTR_Coll.mcd
1674 NBM2_Overlay.jpg,58,pcs,2951,pcs,49997,µm2,19153,µm2,2983772,38,%,Clean_OXTR_Coll.mcd
1674 NBM3_Overlay.jpg,64,pcs,4196,pcs,85134,µm2,19003,µm2,2673040,22,%,Clean_OXTR_Coll.mcd
1674 NBM4_Overlay.jpg,36,pcs,1846,pcs,29822,µm2,10166,µm2,1431371,34,%,Clean_OXTR_Coll.mcd
1708 NBM3_Overlay.jpg,7,pcs,539,pcs,4073,µm2,769,µm2,71079,19,%,Clean_OXTR_Coll.mcd
1708 NBM4_Overlay.jpg,7,pcs,448,pcs,3601,µm2,767,µm2,70839,21,%,Clean_OXTR_Coll.mcd
4337 NBM1_Overlay.jpg,64,pcs,6251,pcs,67471,µm2,16516,µm2,1894581,24,%,Clean_OXTR_Coll.mcd
4337 NBM2_Overlay.jpg,66,pcs,12291,pcs,107181,µm2,24289,µm2,2774443,23,%,Clean_OXTR_Coll.mcd
4337 NBM3_Overlay.jpg,51,pcs,7089,pcs,68024,µm2,16450,µm2,1918297,24,%,Clean_OXTR_Coll.mcd
4337 NBM4_Overlay.jpg,40,pcs,3171,pcs,29448,µm2,6916,µm2,736702,23,%,Clean_OXTR_Coll.mcd
4607 NBM1_Overlay.jpg,44,pcs,4489,pcs,34418,µm2,5631,µm2,583483,16,%,Clean_OXTR_Coll.mcd
4607 NBM2_Overlay.jpg,39,pcs,4182,pcs,32814,µm2,6164,µm2,685041,19,%,Clean_OXTR_Coll.mcd
4999 NBM1_Overlay.jpg,47,pcs,4160,pcs,38429,µm2,10211,µm2,984765,27,%,Clean_OXTR_Coll.mcd
4999 NBM2_Overlay.jpg,55,pcs,3661,pcs,36192,µm2,12096,µm2,1261899,33,%,Clean_OXTR_Coll.mcd
5027 NBM1_Overlay.jpg,80,pcs,5448,pcs,70622,µm2,28847,µm2,2191914,41,%,Clean_OXTR_Coll.mcd
5027 NBM2_Overlay.jpg,82,pcs,6783,pcs,74662,µm2,29967,µm2,2550621,40,%,Clean_OXTR_Coll.mcd
5027 NBM3_Overlay.jpg,89,pcs,4589,pcs,55608,µm2,23922,µm2,1804719,43,%,Clean_OXTR_Coll.mcd
5027 NBM4_Overlay.jpg,64,pcs,3326,pcs,45917,µm2,22336,µm2,1668285,49,%,Clean_OXTR_Coll.mcd
5176 NBM1_Overlay.jpg,71,pcs,6360,pcs,67600,µm2,14068,µm2,1271234,21,%,Clean_OXTR_Coll.mcd
5176 NBM2_Overlay.jpg,66,pcs,4726,pcs,63402,µm2,17299,µm2,1765570,27,%,Clean_OXTR_Coll.mcd
5176 NBM3_Overlay.jpg,41,pcs,2760,pcs,31319,µm2,12685,µm2,1139218,41,%,Clean_OXTR_Coll.mcd
5176 NBM4_Overlay.jpg,36,pcs,2508,pcs,27494,µm2,9018,µm2,897306,33,%,Clean_OXTR_Coll.mcd
5278 NBM1_Overlay.jpg,47,pcs,3919,pcs,30065,µm2,6137,µm2,526776,20,%,Clean_OXTR_Coll.mcd
5278 NBM2_Overlay.jpg,72,pcs,11725,pcs,101777,µm2,16195,µm2,1380698,16,%,Clean_OXTR_Coll.mcd
5282 NBM1_Overlay.jpg,5,pcs,232,pcs,1667,µm2,250,µm2,20768,15,%,Clean_OXTR_Coll.mcd
5282 NBM2_Overlay.jpg,3,pcs,82,pcs,693,µm2,76,µm2,5631,11,%,Clean_OXTR_Coll.mcd
5282 NBM3_Overlay.jpg,49,pcs,4268,pcs,38716,µm2,4379,µm2,358507,11,%,Clean_OXTR_Coll.mcd
5297 NBM1_Overlay.jpg,7,pcs,27,pcs,1585,µm2,1296,µm2,81354,82,%,Clean_OXTR_Coll.mcd
5297 NBM2_Overlay.jpg,7,pcs,19,pcs,1074,µm2,935,µm2,55425,87,%,Clean_OXTR_Coll.mcd
5297 NBM3_Overlay.jpg,10,pcs,44,pcs,2240,µm2,1747,µm2,105043,78,%,Clean_OXTR_Coll.mcd
5297 NBM4_Overlay.jpg,4,pcs,28,pcs,862,µm2,679,µm2,38815,79,%,Clean_OXTR_Coll.mcd
5303 NBM1_Overlay.jpg,57,pcs,3727,pcs,52180,µm2,26115,µm2,1844863,50,%,Clean_OXTR_Coll.mcd
5303 NBM2_Overlay.jpg,49,pcs,2487,pcs,38153,µm2,19415,µm2,1511160,51,%,Clean_OXTR_Coll.mcd
5303 NBM3_Overlay.jpg,46,pcs,2503,pcs,34405,µm2,16615,µm2,1363387,48,%,Clean_OXTR_Coll.mcd
5303 NBM4_Overlay.jpg,33,pcs,1420,pcs,25292,µm2,14064,µm2,1022009,56,%,Clean_OXTR_Coll.mcd
5346 NBM1_Overlay.jpg,20,pcs,607,pcs,7488,µm2,2965,µm2,168533,40,%,Clean_OXTR_Coll.mcd
5346 NBM2_Overlay.jpg,8,pcs,617,pcs,5111,µm2,1755,µm2,118223,34,%,Clean_OXTR_Coll.mcd
5376 NBM2_Overlay.jpg,50,pcs,4349,pcs,39836,µm2,10411,µm2,1150902,26,%,Clean_OXTR_Coll.mcd
5376 NBM3_Overlay.jpg,45,pcs,4956,pcs,42029,µm2,11306,µm2,1194937,27,%,Clean_OXTR_Coll.mcd
5376 NBM4_Overlay.jpg,48,pcs,4509,pcs,37782,µm2,10518,µm2,1072217,28,%,Clean_OXTR_Coll.mcd
